Date,Headline
2021-01-04,Schlumberger Optimistic for 2021 Recovery
2021-01-05,Schlumberger Optimistic for 2021 Recovery
2021-01-06,Schlumberger Optimistic for 2021 Recovery
2021-01-07,Schlumberger Optimistic for 2021 Recovery
2021-01-08,Schlumberger Optimistic for 2021 Recovery
2021-01-09,Schlumberger Optimistic for 2021 Recovery
2021-01-10,Schlumberger Optimistic for 2021 Recovery
2021-01-11,Schlumberger Optimistic for 2021 Recovery
2021-01-12,Schlumberger Optimistic for 2021 Recovery
2021-01-13,Schlumberger Optimistic for 2021 Recovery
2021-01-14,Schlumberger Optimistic for 2021 Recovery
2021-01-15,Schlumberger Optimistic for 2021 Recovery
2021-01-16,Schlumberger Optimistic for 2021 Recovery
2021-01-17,Schlumberger Optimistic for 2021 Recovery
2021-01-18,Schlumberger Optimistic for 2021 Recovery
2021-01-19,Schlumberger Optimistic for 2021 Recovery
2021-01-20,Schlumberger Optimistic for 2021 Recovery
2021-01-21,Schlumberger Optimistic for 2021 Recovery
2021-01-22,Schlumberger Optimistic for 2021 Recovery
2021-01-23,Schlumberger Optimistic for 2021 Recovery
2021-01-24,Schlumberger Optimistic for 2021 Recovery
2021-01-25,Schlumberger Optimistic for 2021 Recovery
2021-01-26,Schlumberger Optimistic for 2021 Recovery
2021-01-27,Schlumberger Optimistic for 2021 Recovery
2021-01-28,UAE Sour Gas Bids Deadline Pushed to February
2021-01-29,UAE Sour Gas Bids Deadline Pushed to February
2021-01-30,UAE Sour Gas Bids Deadline Pushed to February
2021-01-31,UAE Sour Gas Bids Deadline Pushed to February
2021-02-01,UAE Sour Gas Bids Deadline Pushed to February
2021-02-02,UAE Sour Gas Bids Deadline Pushed to February
2021-02-03,UAE Sour Gas Bids Deadline Pushed to February
2021-02-04,Chevron Makes $1.1B Bid for Noble Midstream
2021-02-05,Chevron Makes $1.1B Bid for Noble Midstream
2021-02-06,Chevron Makes $1.1B Bid for Noble Midstream
2021-02-07,Chevron Makes $1.1B Bid for Noble Midstream
2021-02-08,Chevron Makes $1.1B Bid for Noble Midstream
2021-02-09,Chevron Makes $1.1B Bid for Noble Midstream
2021-02-10,Chevron Makes $1.1B Bid for Noble Midstream
