Date,Headline
2021-01-04,Saudi Arabia warns oil producers over fragile market. Iran ramps up uranium enrichment and seizes tanker. Eni bolsters oil price defences after ‘year of war’
2021-01-05,Saudis pledge to cut oil output despite Russian increases. Opec/oil supply: the Goldilocks barrel. Pemex drains reserves of quick fixes as cash crunch looms
2021-01-06,"Oil auction in Arctic wildlife refuge draws scant interest. Commodities trader Trafigura sets first emissions reduction target. Rosneft’s massive Arctic oil push undermines BP’s green turn. Saudi oil cut pledge, businesses tied to rebelling Republicans"
2021-01-07,A Democratic Senate provides a surge for Biden’s energy agenda
2021-01-08,UK’s FTSE 100 kicks off 2021 with 6% rally lifted by vaccine hopes
2021-01-09,UK’s FTSE 100 kicks off 2021 with 6% rally lifted by vaccine hopes
2021-01-10,Gazprom to restart Nord Stream 2 construction
2021-01-11,Wind power overtakes coal in Texas electricity generation. Shell resumes gas shipments from world’s largest floating structure. US oil prices climb above $50 a barrel with a helping hand from Riyadh. Shell case puts spotlight on energy groups’ role in climate change
2021-01-12,Climate activists choke Appalachian pipeline expansion. Commodity traders profit from blockbuster year of market chaos
2021-01-13,Hydrogen project aims to drive UK transition to a low-carbon economy
2021-01-14,How Mexico’s Pemex went from cash cow to financial drain. Oil and gas contracts should drive climate gains
2021-01-15,Total quits powerful US oil lobby over climate policy. LNG rally heralds more volatile gas prices to come
2021-01-16,Total quits powerful US oil lobby over climate policy. LNG rally heralds more volatile gas prices to come
2021-01-17,Total quits powerful US oil lobby over climate policy. LNG rally heralds more volatile gas prices to come
2021-01-18,Total deepens ties with India’s Adani in $2.5bn green energy investment. Adnoc defies retreat from oil with push to pump up output
2021-01-19,IEA warns renewed Covid lockdowns will depress oil demand. Another shale battle erupts. Occidental claims green push ‘does more than Tesla’
2021-01-20,Trafigura puts €1.5bn of own cash on line to cement Rosneft ties
2021-01-21,Biden opens a new era of American energy
2021-01-22,"Canada must ‘respect’ decision to cancel Keystone XL, minister says"
2021-01-23,"Canada must ‘respect’ decision to cancel Keystone XL, minister says"
2021-01-24,Oil services companies signal worst is over for sector. American entrepreneurs wade into murky Syrian oil business
2021-01-25,Scottish independence/oil: gutsy. Shale producers fear drilling binge will spoil good times. Shell buys UK’s largest electric vehicle charging network
2021-01-26,NextEra takes $1.2bn charge as pipeline project comes under pressure. Inside the Keystone XL pipeline fallout
2021-01-27,Biden suspends leases for fossil fuel development on federal lands. Exxon considers capex cuts and board shake-up. Tullow Oil secures extra month of breathing room from its banks. Gas tycoon Charif Souki urges industry to clean up under Biden
2021-01-28,Olive is the new green in fighting climate change
2021-01-29,Shell loses Dutch case over Nigeria oil spills. Chevron disappoints Wall St with third straight quarterly loss
2021-01-30,Shell loses Dutch case over Nigeria oil spills. Chevron disappoints Wall St with third straight quarterly loss
2021-01-31,China oil futures hit record levels
