Date,Headline
2021-01-04,Opec Aims For More Stable 2021. US Mideast Crude Imports Fall To New 35-Year Lows
2021-01-05,Opec Aims For More Stable 2021. US Mideast Crude Imports Fall To New 35-Year Lows
2021-01-06,Opec Aims For More Stable 2021. US Mideast Crude Imports Fall To New 35-Year Lows
2021-01-07,Opec Aims For More Stable 2021. US Mideast Crude Imports Fall To New 35-Year Lows
2021-01-08,Algeria’s Gas Exports Slump To 25-Year Low For 2020. Majors Write Off $69bn in Year To Forget. Saudi Surprises Market With 1mn B/D Production Cut. Saudi Quarterly Production To Drop To Its Lowest In More Than A Decade. China Sees Record 2020 Stockbuild With Saudi & Russia Supplies Neck-And-Neck. Long-Running Qatar Embargo Ends With GCC Summit Agreement. Turkey Gas Imports: Russia Recovers As Iran Squeezed. India Takes First Basra Medium. Iraq Expands Export Storage
2021-01-09,Algeria’s Gas Exports Slump To 25-Year Low For 2020. Majors Write Off $69bn in Year To Forget. Saudi Surprises Market With 1mn B/D Production Cut. Saudi Quarterly Production To Drop To Its Lowest In More Than A Decade. China Sees Record 2020 Stockbuild With Saudi & Russia Supplies Neck-And-Neck. Long-Running Qatar Embargo Ends With GCC Summit Agreement. Turkey Gas Imports: Russia Recovers As Iran Squeezed. India Takes First Basra Medium. Iraq Expands Export Storage
2021-01-10,Algeria’s Gas Exports Slump To 25-Year Low For 2020. Majors Write Off $69bn in Year To Forget. Saudi Surprises Market With 1mn B/D Production Cut. Saudi Quarterly Production To Drop To Its Lowest In More Than A Decade. China Sees Record 2020 Stockbuild With Saudi & Russia Supplies Neck-And-Neck. Long-Running Qatar Embargo Ends With GCC Summit Agreement. Turkey Gas Imports: Russia Recovers As Iran Squeezed. India Takes First Basra Medium. Iraq Expands Export Storage
2021-01-11,Algeria’s Gas Exports Slump To 25-Year Low For 2020. Majors Write Off $69bn in Year To Forget. Saudi Surprises Market With 1mn B/D Production Cut. Saudi Quarterly Production To Drop To Its Lowest In More Than A Decade. China Sees Record 2020 Stockbuild With Saudi & Russia Supplies Neck-And-Neck. Long-Running Qatar Embargo Ends With GCC Summit Agreement. Turkey Gas Imports: Russia Recovers As Iran Squeezed. India Takes First Basra Medium. Iraq Expands Export Storage
2021-01-12,Algeria’s Gas Exports Slump To 25-Year Low For 2020. Majors Write Off $69bn in Year To Forget. Saudi Surprises Market With 1mn B/D Production Cut. Saudi Quarterly Production To Drop To Its Lowest In More Than A Decade. China Sees Record 2020 Stockbuild With Saudi & Russia Supplies Neck-And-Neck. Long-Running Qatar Embargo Ends With GCC Summit Agreement. Turkey Gas Imports: Russia Recovers As Iran Squeezed. India Takes First Basra Medium. Iraq Expands Export Storage
2021-01-13,Algeria’s Gas Exports Slump To 25-Year Low For 2020. Majors Write Off $69bn in Year To Forget. Saudi Surprises Market With 1mn B/D Production Cut. Saudi Quarterly Production To Drop To Its Lowest In More Than A Decade. China Sees Record 2020 Stockbuild With Saudi & Russia Supplies Neck-And-Neck. Long-Running Qatar Embargo Ends With GCC Summit Agreement. Turkey Gas Imports: Russia Recovers As Iran Squeezed. India Takes First Basra Medium. Iraq Expands Export Storage
2021-01-14,Algeria’s Gas Exports Slump To 25-Year Low For 2020. Majors Write Off $69bn in Year To Forget. Saudi Surprises Market With 1mn B/D Production Cut. Saudi Quarterly Production To Drop To Its Lowest In More Than A Decade. China Sees Record 2020 Stockbuild With Saudi & Russia Supplies Neck-And-Neck. Long-Running Qatar Embargo Ends With GCC Summit Agreement. Turkey Gas Imports: Russia Recovers As Iran Squeezed. India Takes First Basra Medium. Iraq Expands Export Storage
2021-01-15,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban"
2021-01-16,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban"
2021-01-17,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban"
2021-01-18,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban"
2021-01-19,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban"
2021-01-20,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban"
2021-01-21,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban"
2021-01-22,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low
2021-01-23,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low
2021-01-24,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low
2021-01-25,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low
2021-01-26,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low
2021-01-27,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low
2021-01-28,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low
2021-01-29,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low"
2021-01-30,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low"
2021-01-31,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low"
2021-02-01,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low"
2021-02-02,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low"
2021-02-03,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low"
2021-02-04,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low"
2021-02-05,Opec Output Growth Stalls Ahead Of Saudi Cut. LNG Trade: China Set To Overtake Japan As Top Importer. Qatar Export Revenues Fall 30% In 2020. Iran Oil Export Terminal Start Up Delayed
2021-02-06,Opec Output Growth Stalls Ahead Of Saudi Cut. LNG Trade: China Set To Overtake Japan As Top Importer. Qatar Export Revenues Fall 30% In 2020. Iran Oil Export Terminal Start Up Delayed
2021-02-07,Opec Output Growth Stalls Ahead Of Saudi Cut. LNG Trade: China Set To Overtake Japan As Top Importer. Qatar Export Revenues Fall 30% In 2020. Iran Oil Export Terminal Start Up Delayed
2021-02-08,Opec Output Growth Stalls Ahead Of Saudi Cut. LNG Trade: China Set To Overtake Japan As Top Importer. Qatar Export Revenues Fall 30% In 2020. Iran Oil Export Terminal Start Up Delayed
2021-02-09,Opec Output Growth Stalls Ahead Of Saudi Cut. LNG Trade: China Set To Overtake Japan As Top Importer. Qatar Export Revenues Fall 30% In 2020. Iran Oil Export Terminal Start Up Delayed
2021-02-10,Opec Output Growth Stalls Ahead Of Saudi Cut. LNG Trade: China Set To Overtake Japan As Top Importer. Qatar Export Revenues Fall 30% In 2020. Iran Oil Export Terminal Start Up Delayed
2021-02-11,Opec Output Growth Stalls Ahead Of Saudi Cut. LNG Trade: China Set To Overtake Japan As Top Importer. Qatar Export Revenues Fall 30% In 2020. Iran Oil Export Terminal Start Up Delayed
2021-02-12,Full Steam Ahead For Qatar’s $29bn LNG Expansion. Euro Majors Eye Upstream Cash For Transition Funding. IEA Expects Strong Second Half 2021 Drawdowns As Investment Concerns Grow. LNG Prices Slide From January Records
